id,kab_kota,desa,lat,long,pendidikan_sd,pendidikan_smp,pendidikan_sma,pendidikan_pt,kesehatan_rs,keseharan_posyandu,kesehatan_puskesmas,klb_gizi,klb_diare,klb_dbd,klb_covid,sosial_tawuran,sosial_bundir_lk,sosial_bundir_pr,pemukiman_nonlistrik,pemukiman_kumuh,pemukiman_bantaran_sungai,bencana_banjir,bencana_longsor,ekonomi_umkm,ekonomi_koperasi,ekonomi_pasar
3204062003,Bandung,Cimenyan,6.87311121,107.66483,1,6,1,0,0,23,1,0,0,0,71,0,0,0,0,0,0,0,0,13,0,14
3204062008,Bandung,Mekarsaluyu,6.86281069,107.655109,1,3,1,1,0,7,1,0,0,0,19,0,1,0,0,0,16,0,0,2,0,6
3204062006,Bandung,Ciburial,6.8551009,107.644042,13,11,3,1,1,13,0,0,0,0,25,0,0,0,0,0,15,0,0,9,1,18
3205352005,Garut,Sukajaya,7.40472524,107.537518,6,7,3,2,0,9,1,2,0,0,0,0,0,0,0,0,0,0,0,28,0,1
3205352004,Garut,Cikarang,7.42612001,107.452898,7,6,3,3,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1
3205352003,Garut,Pamalayan,7.38414203,107.509502,9,4,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
3205352001,Garut,Cisewu,7.3766552,107.497382,11,5,2,3,0,8,1,0,0,0,0,0,0,0,0,0,0,0,1,36,1,2
3205352002,Garut,Girimukti,7.33411538,107.538905,3,4,2,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,1
3205352006,Garut,Nyalindung,7.32135789,107.50226,4,3,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,1,24,0,1
3205352007,Garut,Karangsewu,7.44072802,107.476348,0,2,1,1,0,6,1,1,0,0,0,0,0,0,1,0,0,0,0,9,0,1
3205352008,Garut,Mekarsewu,7.3510778,107.49097,4,2,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,1
3205352009,Garut,Panggalih,7.41217194,107.533688,6,4,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,1
3205362003,Garut,Cimahi,7.47953112,107.42868,3,5,2,1,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0
