ID;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;Y
12479;441;54172;119;0.766468254;0.993716931;3361;0.614956058;0;0;13.7;10;0
12480;183;41061;54;0.703824343;0.979883354;5958;0.916284722;1;667;16.7;6.7;0
12481;28;30811;11;0.749195402;1;1517;1;0;0;5.3;2;0
12482;39;35985;40;0.733317242;1;1269;1;0;0;12.7;9;0
12483;11;11618;4;0.658730159;0.873015873;1447;0.55952381;640;27452;2;1;0
12484;9;17457;22;0.748470555;0.67717267;10147;0.270667686;0;0;6.3;2.3;0
12485;19;9771;19;0.68463988;1;1092;0.976190476;154;11391;2;1.3;0
12486;193;16803;96;0.881394663;0.992840557;4433;0.679871846;510;6709;3.7;3;0
12487;27;32581;17;0.727257924;0.958894196;23864;0.900031233;171;14566;7.3;6;0
12488;85;40313;199;0.91324083;0.987334094;10450;0.847965755;0;0;5.3;1.7;0
12489;39;24994;44;0.731895425;0.954901961;619;0.863247863;0;0;8;3.7;0
12490;76;55689;41;0.705398298;0.820564011;5058;0.739992889;0;0;6.3;3.7;1
12491;60;9979;7;0.596296296;1;5150;0.979205119;97;10744;6.7;4;0
12492;36;11744;26;0.622111003;1;13661;0.995833333;736;1193;6.3;4.3;0
12493;59;12776;24;0.673839172;1;3844;0.943548387;0;0;5.3;2.7;0
12494;83;35936;18;0.728875761;0.882205514;3753;0.97979798;29;9556;2.7;2.7;0
12495;178;40640;73;0.708074663;0.99659864;1750;0.619047619;0;0;2;1;1
12496;15;4451;1;0.25;0.75;0;0;8;10840;1;0.7;0
12497;16;6532;5;0.555322129;0.774276377;2028;0.840557276;1560;38889;2;2.3;0
12498;13;11755;11;0.787677527;1;683;1;2550;46721;4;2.3;0
12499;95;20339;98;0.711742206;1;19414;0.999631268;8;2392;12.3;6;0
12500;0;0;0;0;0;0;0;953;47224;5.3;1.7;0
12501;111;48950;32;0.870112344;0.807572544;23489;0.863771708;139;16727;5;3;0
12502;112;59968;158;0.735973768;0.988612958;7314;0.958168294;0;0;13.3;3.7;0
12503;0;0;0;0;0;329;0.7;2205;26667;1;1;1
12504;324;54162;244;0.758057402;0.988665913;7164;0.850495246;0;0;17;6;1
12505;18;7372;19;0.869073648;1;10328;0.997942387;0;0;6.3;3.3;0
12506;2;6663;8;0.667125032;0.480315763;23425;0.793398378;0;0;10;3;0
12507;65;40362;63;0.815702311;0.929510208;2378;0.932898106;1013;30576;7.7;5;0
12508;0;0;0;0;0;0;0;742;30557;3.7;1.7;0
12509;55;44374;20;0.799670532;1;22536;0.998885173;0;0;7.3;4;1
