provinsi;Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib;Angkutan Darat;Angkutan Laut ;Angkutan Rel ;Angkutan Sungai Danau dan Penyeberangan;Angkutan Udara;Asuransi dan Dana Pensiun;Industri Alat Angkutan;Industri Barang Galian bukan Logam;Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik;Industri Batubara dan Pengilangan Migas;Industri Furnitur;Industri Karet, Barang dari Karet dan Plastik;Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya ;Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman ;Industri Kimia, Farmasi dan Obat Tradisional;Industri Kulit, Barang dari Kulit dan Alas Kaki ;Industri Logam Dasar ;Industri Makanan dan Minuman ;Industri Mesin dan Perlengkapan YTDL;Industri Pengolahan Lainnya, Jasa Reparasi dan Pemasangan Mesin dan Peralatan;Industri Pengolahan Tembakau;Industri Tekstil dan Pakaian Jadi;Jasa Informasi dan Komunikasi;Jasa Kesehatan dan Kegiatan Sosial;Jasa Keuangan Lainnya;Jasa Lainnya;Jasa Pendidikan;Jasa Penunjang Keuangan;Jasa Perantara Keuangan Selain Bank Sentral;Jasa Pertanian dan Perburuan  ;Jasa Perusahaan;Kehutanan dan Penebangan Kayu;Ketenagalistrikan ;Konstruksi;Pengadaan Air, Pengelolaan Sampah, Limbah, dan Daur Ulang;Pengadaan Gas dan Produksi Es;Penyediaan Akomodasi ;Penyediaan Makan Minum;Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor;Perdagangan Mobil, Sepeda Motor dan Reparasinya;Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir;Perikanan ;Perkebunan Semusim dan Tahunan;Pertambangan Batubara dan Lignit;Pertambangan Bijih Logam;Pertambangan Minyak, Gas dan Panas Bumi;Pertambangan dan Penggalian Lainnya;Pertanian Tanaman Hortikultura Semusim, Hortikultura Tahunan, dan Lainnya;Pertanian Tanaman Pangan ;Peternakan ;Real Estate
Jawa Timur;59350504.0;28635727.0;4338189.0;983132.0;831803.0;37789787.0;11257587.0;18799657.0;1945801.0;36388436.0;2111291.0;30553153.0;13005284.0;13215241.0;12993215.0;68052883.0;14808137.0;27715130.0;226652045.0;3582707.0;20741960.0;197085867.0;23512141.0;57008091.0;35952895.0;2184926.0;60999028.0;72739604.0;968014.0;15090182.0;81597.0;11479011.0;982366.0;9254288.0;372013312.0;2282357.0;30984.0;10312460.0;116981044.0;153129233.0;32081904.0;9159046.0;30746597.0;10704329.0;0.0;3853.0;13966639.0;1360456.0;33213618.0;13045294.0;31233015.0;65069067.0
Kalimantan Barat;13493352.0;2162408.0;483625.0;0.0;541404.0;7169311.0;612138.0;281546.0;30083.0;991942.0;0.0;411144.0;2466117.0;1912938.0;45797.0;164614.0;213623.0;632404.0;24189233.0;74912.0;95402.0;0.0;137984.0;3588240.0;3053800.0;280233.0;3578217.0;7815881.0;28013.0;1540464.0;1111.0;343129.0;78350.0;1228707.0;21254832.0;448258.0;7.0;1012528.0;6820555.0;12276674.0;3953907.0;378971.0;3227445.0;9643500.0;2614.0;48796.0;0.0;584450.0;2265057.0;594757.0;3417275.0;5814730.0
Kalimantan Selatan;12521905.0;2065481.0;2360950.0;0.0;363792.0;3279238.0;499704.0;205072.0;277901.0;116271.0;0.0;396905.0;2244711.0;3067718.0;29726.0;617742.0;4060.0;0.0;24259736.0;38058.0;263373.0;0.0;156896.0;2864481.0;3702509.0;105330.0;3121132.0;6842734.0;1700.0;1253347.0;392.0;414040.0;128714.0;1212246.0;22063428.0;397142.0;0.0;566085.0;5834625.0;12025667.0;1912188.0;563854.0;3940303.0;2803285.0;63745222.0;437241.0;22216.0;603692.0;898613.0;1009553.0;2205267.0;4842979.0
Kalimantan Tengah;9423473.0;2632375.0;1686064.0;0.0;663170.0;3056401.0;493252.0;281329.0;18124.0;260396.0;0.0;413303.0;1418065.0;1144392.0;13312.0;430626.0;87621.0;0.0;29151401.0;93274.0;210149.0;0.0;84307.0;1424052.0;1559764.0;108591.0;2141948.0;5700123.0;2809.0;725115.0;1527.0;90213.0;28676.0;577407.0;22033379.0;307030.0;0.0;253624.0;4134474.0;8755207.0;612250.0;223690.0;1669789.0;3771668.0;9979548.0;504429.0;0.0;1171083.0;750092.0;710550.0;853579.0;4058812.0
Kalimantan Timur;13431787.0;1432562.0;2617017.0;0.0;910694.0;11484410.0;1149283.0;1165667.0;310283.0;928153.0;49342517.0;975421.0;55180.0;4871511.0;418424.0;16058320.0;109522.0;0.0;22358787.0;505612.0;1365049.0;0.0;178073.0;5090068.0;4446011.0;235671.0;4461540.0;9582992.0;17.0;2009972.0;3349.0;1124400.0;83004.0;1371815.0;75680333.0;629955.0;21.0;885709.0;8815531.0;24715521.0;3556380.0;2209139.0;6785629.0;6659457.0;166080277.0;1507.0;12614435.0;6253451.0;1780673.0;371545.0;842691.0;8826594.0
Kalimantan Utara;4865537.0;314350.0;1705288.0;0.0;245501.0;1730162.0;109222.0;2957221.0;46140.0;72003.0;0.0;761048.0;1562.0;511271.0;9168.0;3426.0;156412.0;0.0;5440043.0;27392.0;47074.0;0.0;7111.0;1208009.0;779948.0;25405.0;839208.0;1260091.0;6790.0;237049.0;172.0;83893.0;1431.0;306081.0;10849148.0;51092.0;4720.0;196925.0;1411556.0;4718703.0;423878.0;228026.0;3138579.0;1608699.0;12303876.0;0.0;21180.0;647640.0;876509.0;135649.0;62440.0;1215349.0
Kep. Bangka Belitung;5154548.0;618751.0;484364.0;0.0;45009.0;2935868.0;159366.0;207613.0;-81550.0;195397.0;0.0;112387.0;310722.0;13166.0;20730.0;50268.0;0.0;11406720.0;6746241.0;0.0;44253.0;0.0;92126.0;890160.0;1423563.0;99060.0;754916.0;1954756.0;1820.0;468350.0;131.0;146993.0;49113.0;861592.0;9023230.0;63647.0;0.0;87270.0;3198090.0;6142578.0;1256289.0;221048.0;2919372.0;4433231.0;0.0;116211.0;499456.0;59203.0;889472.0;37703.0;525525.0;1991713.0
Kep. Riau;8792573.0;1519845.0;2435583.0;0.0;234069.0;13742389.0;1361766.0;18029778.0;208882.0;52085745.0;1416771.0;585127.0;2231628.0;58617.0;329179.0;11674975.0;1223515.0;7784299.0;15393692.0;18370062.0;7307338.0;648937.0;3019022.0;4872916.0;2034023.0;184368.0;4253422.0;3397643.0;175013.0;1441631.0;762.0;767296.0;21761.0;1374044.0;64163867.0;704922.0;1306.0;5757733.0;10809175.0;13832843.0;3855625.0;774668.0;3794395.0;419785.0;0.0;6962.0;14378499.0;857111.0;786644.0;22601.0;1963604.0;6151392.0
Lampung;13920497.0;7694829.0;2054440.0;191899.0;1199318.0;3114628.0;710760.0;4895832.0;348621.0;1753342.0;49047.0;1080462.0;2700100.0;325630.0;602785.0;2698427.0;481598.0;33340.0;59029788.0;1802062.0;682003.0;96290.0;243061.0;5320699.0;5783909.0;168927.0;6623752.0;11712446.0;45343.0;1786836.0;14477.0;596376.0;295071.0;1786071.0;54750972.0;231071.0;731.0;246923.0;11631466.0;21965176.0;5313816.0;374906.0;9487092.0;10443465.0;0.0;0.0;117788.0;38745.0;9111058.0;2474780.0;5457779.0;8846977.0
Maluku;9259840.0;657074.0;1153565.0;0.0;785191.0;2659286.0;167267.0;453579.0;21973.0;62058.0;0.0;272726.0;6677.0;186330.0;4994.0;3399.0;0.0;2.0;2693441.0;12283.0;143055.0;0.0;9974.0;1392954.0;1168947.0;34456.0;1509056.0;4141828.0;298.0;380105.0;18.0;106195.0;22583.0;323401.0;4351196.0;92763.0;9.0;202788.0;1425868.0;2931540.0;1297195.0;150223.0;6145364.0;1239730.0;0.0;464582.0;747056.0;268.0;1242305.0;424909.0;85067.0;1727669.0
Maluku Utara;6014123.0;757073.0;989590.0;0.0;526498.0;1907135.0;63064.0;123729.0;2075.0;35573.0;0.0;108190.0;71.0;8677.0;3380.0;266.0;0.0;407824.0;1259200.0;6481.0;16304.0;0.0;39369.0;888572.0;983962.0;62300.0;963817.0;2696873.0;74.0;272396.0;0.0;66582.0;17560.0;189219.0;6017311.0;151953.0;-117.0;67787.0;483747.0;2802693.0;105383.0;77111.0;2240756.0;2797458.0;0.0;703.0;0.0;10421.0;517188.0;230491.0;207417.0;1195625.0
Nusa Tenggara Barat;8812094.0;3758859.0;1157044.0;0.0;530069.0;4604581.0;201037.0;87113.0;224004.0;253837.0;0.0;766425.0;6445.0;143500.0;29866.0;27735.0;11247.0;12359.0;11417635.0;21666.0;295539.0;1445767.0;1053250.0;1331948.0;2933471.0;492225.0;2804102.0;8318404.0;136.0;1631473.0;5844.0;380630.0;32764.0;717836.0;24179896.0;230516.0;0.0;1200189.0;4777636.0;7815739.0;2164232.0;250704.0;4560545.0;689412.0;0.0;21011312.0;0.0;1791134.0;6278182.0;1017562.0;1851932.0;5564381.0
Nusa Tenggara Timur;14970671.0;2481171.0;612116.0;0.0;472404.0;4909575.0;111352.0;30653.0;127601.0;105312.0;0.0;688008.0;323.0;14993.0;10464.0;4439.0;4851.0;0.0;7212964.0;0.0;168565.0;8039.0;763727.0;2791822.0;3010637.0;152320.0;3541576.0;10337999.0;110.0;836543.0;0.0;142952.0;1218.0;473768.0;15734054.0;143803.0;0.0;493498.0;2371923.0;7026826.0;1742492.0;217523.0;6718055.0;2510442.0;0.0;2.0;0.0;824300.0;2318078.0;1562909.0;3215189.0;4311105.0
Papua;29185823.0;1829228.0;1056759.0;0.0;186717.0;5864203.0;325186.0;42068.0;11074.0;23009.0;0.0;665274.0;2909.0;1220050.0;2534.0;3055.0;11406.0;0.0;3508728.0;0.0;219875.0;0.0;137915.0;2024490.0;4071029.0;61054.0;4288823.0;6744996.0;50.0;2340819.0;611.0;551346.0;229402.0;964504.0;33198630.0;112041.0;0.0;729685.0;692249.0;9361085.0;1462589.0;635532.0;4910120.0;1720099.0;0.0;24361116.0;0.0;1796660.0;1409746.0;3176411.0;3044082.0;7285481.0
Papua Barat;11072971.0;524015.0;490118.0;0.0;53560.0;2372982.0;119933.0;45681.0;6062.0;24494.0;21687193.0;83501.0;885.0;245137.0;5430.0;1457.0;48805.0;0.0;2087918.0;0.0;143046.0;0.0;9231.0;798906.0;1363747.0;33756.0;689251.0;2761227.0;89.0;429871.0;0.0;62243.0;87223.0;254780.0;12366621.0;88152.0;-8.0;110886.0;755340.0;3405647.0;390657.0;38508.0;2064153.0;702025.0;0.0;0.0;864789.0;619.0;338622.0;102367.0;517647.0;1326225.0
